Code,Streets,Print_Count,lat,lon,Installation_Status,LGA
TAR_52,GOBA LINK,2,11.97519305,8.568088497,Pending,TARAUNI
NAS_71,BASHIR DALHATU STREET,2,11.974401,8.569111,Pending,NASSARAWA
NAS_114,GARBA SHEHU STREET,2,11.97565082,8.569994949,Pending,NASSARAWA
NAS_28,AGWAGWA STREET,2,11.97748794,8.571406992,Pending,NASSARAWA
NAS_177,KWANAR MAGGI STREET,2,11.98016424,8.56978518,Pending,NASSARAWA
NAS_123,GEN. BASHIR MAGASHI ROAD,2,11.98077928,8.566433642,Pending,NASSARAWA
NAS_203,MA'AJIN WATARI STREET,2,11.97989468,8.565553455,Pending,NASSARAWA
NAS_143,I. MA SAMA CLOSE,1,11.97975439,8.565436606,Pending,NASSARAWA
NAS_144,IBRAHIM EL-TAYYIB CLOSE,1,11.98250059,8.565956597,Pending,NASSARAWA
NAS_256,SABARA AVENUE,2,11.9834601,8.566816947,Pending,NASSARAWA
TAR_75,KIYASHI AVENUE,2,11.97499409,8.566319206,Pending,TARAUNI
TAR_39,DABINO AVENUE,2,11.97470416,8.566124829,Pending,TARAUNI
TAR_164,YUSUF MAITAMA SULE AVENUE,2,11.97403687,8.565637385,Pending,TARAUNI
TAR_138,SHEHU KAZAURE STREET,2,11.97356667,8.565419444,Pending,TARAUNI
TAR_28,BASHIR SULE MAITAMA AVENUE,2,11.975825,8.5629,Pending,TARAUNI
TAR_11,ALFA WALI STREET,2,11.97008,8.568434,Pending,TARAUNI
NAS_153,ILIYASU MIJINYAWA LINK,2,12.00899557,8.569654029,Pending,NASSARAWA
NAS_104,DUTSE ROAD,2,12.01048788,8.569714329,Pending,NASSARAWA
NAS_168,KAWU MAI WANKI STREET,2,12.01052363,8.57088322,Pending,NASSARAWA
NAS_101,DUNGURAWA AVENUE,2,12.01062801,8.572403465,Pending,NASSARAWA
NAS_208,MAHUTA STREET,2,12.0091758,8.572023558,Pending,NASSARAWA
NAS_195,LAYIN SHESHE STREET,2,12.00778317,8.570633157,Pending,NASSARAWA
NAS_69,BARGERY ROAD,2,12.00737816,8.568786337,Pending,NASSARAWA
NAS_72,BATAWA ROAD,2,12.00735228,8.568706541,Pending,NASSARAWA
NAS_320,YUSUF ROAD,2,12.007068,8.567443,Pending,NASSARAWA
NAS_175,KUWATAGONI CLOSE,1,12.00383355,8.567538665,Pending,NASSARAWA
NAS_252,RWAFF ROAD,2,12.00953251,8.565114498,Pending,NASSARAWA
NAS_297,UMARU BABURA ROAD,2,12.01309334,8.566526584,Pending,NASSARAWA
NAS_25,ADAMU LAUYA STREET,2,12.01242,8.574354,Pending,NASSARAWA
NAS_79,CAPITAL INSURANCE STREET,2,12.01132461,8.575289002,Pending,NASSARAWA
NAS_165,KAWAJI STREET,2,12.00711442,8.572900345,Pending,NASSARAWA
NAS_278,SULE BOMPAI STREET,2,12.017563,8.574209405,Pending,NASSARAWA
NAS_280,SURAJO MARSHAL LINK,2,11.99291938,8.566843705,Pending,NASSARAWA
NAS_74,BELLO ADOKE CLOSE,1,11.9936451,8.566124656,Pending,NASSARAWA
NAS_311,YAKUBU SULEIMAN LINK,2,11.99363863,8.565262614,Pending,NASSARAWA
NAS_268,SARDAUNA CRESCENT,19,11.99198439,8.564407534,Pending,NASSARAWA
NAS_185,LARABA ROAD,2,11.99190469,8.563286803,Pending,NASSARAWA
NAS_51,ASMA'U YAKUBU STREET,2,11.98976914,8.563140889,Pending,NASSARAWA
NAS_279,SULTAN ROAD,3,11.98935616,8.561689638,Pending,NASSARAWA
NAS_182,LAMIDO TERRACE,2,11.98685559,8.564043913,Pending,NASSARAWA
NAS_214,MALAM BUHARI LINK,2,11.98732404,8.56646193,Pending,NASSARAWA
NAS_95,DAUDA BIRMA STREET,2,11.98856802,8.567681443,Pending,NASSARAWA
NAS_24,ADAMU JOJI ROAD,2,11.98857,8.568718,Pending,NASSARAWA
NAS_145,IBRAHIM GODI STREET,2,11.98758884,8.568566542,Pending,NASSARAWA
NAS_307,WRECCA ROAD,2,11.98591722,8.568032292,Pending,NASSARAWA
NAS_88,DAN WUDIL LINK,2,11.98962698,8.569380991,Pending,NASSARAWA
NAS_128,GIGINYU BARRACKS ROAD,2,11.990208,8.568979,Pending,NASSARAWA
NAS_50,ASMA'U LINK,2,11.99077,8.568889,Pending,NASSARAWA
NAS_20,ADAKAWA LINK,2,11.991299,8.568813,Pending,NASSARAWA
NAS_94,DARMA LINK,2,11.992379,8.568696,Pending,NASSARAWA
NAS_323,ZUBAIRU INUWA LINK,2,11.9929212,8.568220361,Pending,NASSARAWA
NAS_19,ABUBAKAR TSAV STREET,2,11.99355853,8.568775281,Pending,NASSARAWA
NAS_116,GARBA YAKASAI LINK,2,11.99355535,8.5693174,Pending,NASSARAWA
NAS_316,YOLAWA LINK,2,11.99296879,8.569886493,Pending,NASSARAWA
NAS_161,KABO LINK,2,11.99182088,8.571262102,Pending,NASSARAWA
NAS_204,MADINA LINK,2,11.99020712,8.57016564,Pending,NASSARAWA
NAS_290,UMARU BABURA LINK,2,11.98885116,8.571847548,Pending,NASSARAWA
NAS_292,UMAR GALADIMA ROAD,2,11.98826612,8.571278404,Pending,NASSARAWA
NAS_260,SALIHU ZAWA'I UBA AVENUE,2,11.99489747,8.568508218,Pending,NASSARAWA
NAS_232,MUSA TUDUN WADA LINK,2,11.99617532,8.568498658,Pending,NASSARAWA
NAS_251,RUFAI GARBA ROAD,2,11.99703864,8.567789799,Pending,NASSARAWA
NAS_29,AHAD CRESCENT,2,11.99706,8.566677,Pending,NASSARAWA
NAS_60,BABAN KWARI ROAD,2,11.997609,8.565849,Pending,NASSARAWA
NAS_255,SA'ADINA H DANTATA LINK,2,11.9984818,8.564489692,Pending,NASSARAWA
NAS_206,MADUGU LINK,2,11.99613415,8.56468458,Pending,NASSARAWA
NAS_234,MUSTAFA GARBA LINK,2,11.99595332,8.562854794,Pending,NASSARAWA
NAS_157,JABBO ROAD,2,11.99752651,8.562120974,Pending,NASSARAWA
NAS_269,SARDAUNA HABIB AVENUE,2,11.99424093,8.560425784,Pending,NASSARAWA
FAG_86,TREE LANE,2,11.998511,8.535844,Pending,FAGGE
FAG_10,AJASA ROAD,2,12.000455,8.535972,Pending,FAGGE
NAS_32,AJASA YAN SIMINTI ROAD,2,12.00057098,8.535460905,Pending,NASSARAWA
FAG_45,INUWA WADA LANE,2,12.000514,8.535439,Pending,FAGGE
NAS_81,CIVIC CENTRE ROAD,5,12.00065421,8.534696184,Pending,NASSARAWA
FAG_87,USMAN LIMAN ROAD,2,12.00245,8.53355,Pending,FAGGE
FAG_53,LAGOS STREET,2,12.0017808,8.537534502,Pending,FAGGE
FAG_11,ALWALI ROAD,2,12.00265,8.537688,Pending,FAGGE
FAG_75,REVENUE ROAD,2,12.004172,8.538057,Pending,FAGGE
FAG_20,BIDA ROAD,2,12.000564,8.537456,Pending,FAGGE
NAS_318,YUSUF KURFI STREET,2,11.99822298,8.539582599,Pending,NASSARAWA
TAR_153,USMANIYYA LINK,2,11.99369439,8.538241234,Pending,TARAUNI
NAS_228,MUSA FAGGE LINK,2,11.99140568,8.53867215,Pending,NASSARAWA
NAS_154,ISLAMIYYA LINK,2,11.99167904,8.536783768,Pending,NASSARAWA
FAG_63,OBASANJO LINK,2,11.99003374,8.534148784,Pending,FAGGE
FAG_64,OBASANJO ROAD,2,11.98956136,8.534142923,Pending,FAGGE
NAS_276,STATE ROAD,5,11.99044092,8.531894246,Pending,NASSARAWA
FAG_31,EMIR ROAD,2,11.99045473,8.531857936,Pending,FAGGE
NAS_78,BUK ROAD,2,11.99038009,8.531847619,Pending,NASSARAWA
NAS_275,STADIUM ROAD,2,11.99185546,8.532522778,Pending,NASSARAWA
FAG_41,IBRAHIM TAIWO ROAD,7,11.99335846,8.533534579,Pending,FAGGE
FAG_67,OLUSEGUN OBASANJO WAY,2,11.993482,8.533897,Pending,FAGGE
NAS_216,MATAN FADA ROAD,4,11.99300584,8.541410816,Pending,NASSARAWA
NAS_187,LAWAN ATANA ROAD,2,11.993596,8.543319,Pending,NASSARAWA
NAS_282,TAMANDU ROAD,2,11.99541898,8.543925024,Pending,NASSARAWA
NAS_281,TAMANDU CLOSE,1,11.99757654,8.544588407,Pending,NASSARAWA
NAS_49,ARAKAN ROAD,2,12.00123273,8.544756577,Pending,NASSARAWA
NAS_209,MAI GATARI STREET,2,11.985094,8.581287,Pending,NASSARAWA
NAS_138,HIGH TENSION LINE,2,11.98359918,8.582608444,Pending,NASSARAWA
NAS_15,ABDUL'AZIZ HARUNA STREET,2,11.98573844,8.583746399,Pending,NASSARAWA
NAS_142,HOTORO TINSHAMA ROAD,2,11.98813639,8.584792179,Pending,NASSARAWA
TAR_17,AMANALLAH STREET,2,11.96657511,8.544906688,Pending,TARAUNI
TAR_145,TAHIR ROAD,2,11.9653472,8.545577686,Pending,TARAUNI
TAR_24,BALA MAMSA STREET,2,11.96539958,8.543533395,Pending,TARAUNI
TAR_73,KARKASARA WAY,2,11.96386235,8.543163884,Pending,TARAUNI
TAR_63,INUWA DUTSE STREET,2,11.96373251,8.543047049,Pending,TARAUNI
TAR_121,PRESS ROAD,2,11.96743055,8.54309793,Pending,TARAUNI
TAR_54,GYADI - GYADI PRIMARY SCHOOL ROAD,2,11.96854205,8.545208373,Pending,TARAUNI
TAR_85,LAYIN MAI KOSAI ROAD,2,11.96866528,8.545449266,Pending,TARAUNI
TAR_118,NUPE ROAD,2,11.96896135,8.546111983,Pending,TARAUNI
TAR_21,BABA KOKI STREET,2,11.96869179,8.546309901,Pending,TARAUNI
TAR_72,KANKAROFI STREET,2,11.96860361,8.546789988,Pending,TARAUNI
TAR_119,NURA TURAKI STREET,2,11.96783916,8.546852442,Pending,TARAUNI
TAR_35,BUDAIYA ROAD,2,11.97081882,8.542248686,Pending,TARAUNI
TAR_20,BABA IMPOSSIBLE STREET,2,11.96814167,8.554552778,Pending,TARAUNI
FAG_89,WARRI ROAD,2,12.02273368,8.534597569,Pending,FAGGE
FAG_32,ENUGU ROAD,2,12.02212748,8.532521288,Pending,FAGGE
FAG_4,ABEOKUTA ROAD,2,12.02134652,8.532510939,Pending,FAGGE
FAG_9,AITKEN ROAD,2,12.02048054,8.534602132,Pending,FAGGE
FAG_57,MIDDLE ROAD,2,12.01959111,8.534768128,Pending,FAGGE
FAG_82,SANIN GIWA STREET,2,12.01855201,8.530981013,Pending,FAGGE
